10251460269807802e-21,11403744226099556e-21,9780398603014673e-21,9422723153206146e-21,9025047033547417e-21,8440533686608892e-21,7829621629464162e-21,7222285566065388e-21,6613978114911235e-21,606443660434628e-20
10261331402605193e-21,11441500425939368e-21,9779202598722735e-21,9413468809925699e-21,9007930784615448e-21,8413989543577698e-21,7793407678088787e-21,7176980581730583e-21,6560616053684398e-21,6002164812569835e-21
102712719330264e-19,1147935623389982e-20,9778110028689976e-21,9404272357749689e-21,8990880019751869e-21,8387582428391602e-21,7757426945047601e-21,7132024827285143e-21,6507767374071632e-21,5940552772591222e-21
10281282796920848e-21,11517309694289712e-21,9777119820836968e-21,9395133118761036e-21,8973894426195435e-21,8361310843708515e-21,7721676603695591e-21,7087414084142316e-21,6455401771851071e-21,587961133809094e-20
10291360232360768e-21,11555358966854526e-21,9776230941337352e-21,9386050447282832e-21,8956973705423028e-21,8335173350180213e-21,7686153917912113e-21,70431442403846986e-22,6403508961729014e-21,5819336469029885e-21
10301500626347816e-21,11593502301439258e-21,9775442391640147e-21,9377023727385918e-21,8940117571330241e-21,8309168562099252e-21,7650856236632248e-21,6999211285660624e-21,6352082304976636e-21,5759720726018656e-21
10311700507714164e-21,11631738031438005e-21,9774753206567082e-21,9368052370980253e-21,8923325748878132e-21,8283295143635643e-21,7615780988966876e-21,6955611306565569e-21,6301115971138268e-21,5700756107622112e-21
10321956540449042e-21,11670064567836148e-21,977416245261753e-20,935913581609381e-20,8906597972917573e-21,825755180541605e-20,7580925679695376e-21,6912340482319694e-21,6250604457072199e-21,5642434525730166e-21
10332265517432141e-21,11708480393773076e-21,9773669226399436e-21,9350273525293901e-21,8889933987149218e-21,8231937301398171e-21,7546287885091495e-21,6869395080716022e-21,62005424515858665e-22,5584747934792133e-21
10342624354482322e-21,11746984059538807e-21,9773272653146221e-21,9341464984223464e-21,8873333543200415e-21,8206450425999358e-21,7511865249031646e-21,6826771454291099e-21,6150924784046384e-21,5527688377061341e-21
10353030084791363e-21,117855741780085e-19,9772971885340609e-21,9332709700254913e-21,8856796399804192e-21,8181090011469412e-21,74776554793926374e-22,6784466036742038e-21,61017464003936816e-22,5471248000638352e-21
10363479853654974e-21,11824249420441422e-21,9772766101416885e-21,9324007201241015e-21,884032232206853e-20,8155854925474512e-21,7443656344694405e-21,6742475339545677e-21,6053002349960555e-21,5415419066887401e-21
10373970913510494e-21,11863008512624894e-21,977265450454529e-20,9315357034358538e-21,8823911080825253e-21,8130744068877216e-21,7409865670977738e-21,6700795948778662e-21,600468777720448e-20,5360193953155524e-21
1038450412114077e-20,11901852030083321e-21,9772637486672438e-21,9306759313325896e-21,8807562422088696e-21,8105756915803831e-21,7376282494314865e-21,66594260358917315e-22,5956799396380263e-21,5305566733355496e-21
1039508024882799e-20,11940780504583933e-21,9772715414865633e-21,9298214140431026e-21,8791276093847804e-21,808089292626413e-20,7342905824595178e-21,6618363746962281e-21,5909333917462338e-21,5251531505186325e-21
